Food counter 	Food type	Sub-category	Region	Year of study	Report type	"kg CO2-eq/kg produce, BFM or L after conversion"	Notes (conventional farming assumed unless stated)	Reference	reference number
Dairy Counter	Mozarella Cranolo 	Cheese	Bolonga	2013	EPD	9.72		"Stefano, M. D. (2013a). ""Environmental product declaration of Mozzarella made from high quality milk."" Retrieved 20/01/2014, from http://gryphon.environdec.com/data/files/6/9686/epd128_Granarolo_Mozzarella_2013-10-14.pdf. "	0039
Dairy Counter	Mozarrella	Cheese	Netherlands	2013	Journal	6.89		"Head, M., M. Sevenster, I. Odegard, B. Krutwagen, H. Croezen and G. Bergsma (2013). ""Life cycle impacts of protein-rich foods: creating robust yet extensive life cycle models for use in a consumer app."" Journal of Cleaner Production(in press): 1-10."	0040
Dairy Counter	Mozarrella	Cheese	USA	2013	Journal	7.28		"Kim, D., G. Thoma, D. Nutter, F. Milani, R. Ulrich and G. Norris (2013). ""Life cycle assessment of cheese and whey production in the USA."" The International Journal of Life Cycle Assessment 18(5): 1019-1035"	0041
Dairy Counter	Mozarrella	Cheese	USA	2012	Conference	7.50		"Thoma, G. (2012). Comprehensive life cycle Assessment for cheese and whey products in U.S. SETAC 18th LCA Case Study Symposium 4th NorLCA Symposium Sustainability Assessment in the 21st century Tools, Trends & Applications."	0042
Dairy Counter	Mozarrella	Cheese	Netherlands	2013	Journal	9.99		"Head, M., M. Sevenster, I. Odegard, B. Krutwagen, H. Croezen and G. Bergsma (2013). ""Life cycle impacts of protein-rich foods: creating robust yet extensive life cycle models for use in a consumer app."" Journal of Cleaner Production(in press): 1-10."	0043
Dairy Counter	Natural	Cheese	USA	2012	Conference	8.30		"Thoma, G. (2012). Comprehensive life cycle Assessment for cheese and whey products in U.S. SETAC 18th LCA Case Study Symposium 4th NorLCA Symposium Sustainability Assessment in the 21st century Tools, Trends & Applications."	0044
Dairy Counter	Semi Hard Chees	Cheese	swiss	2002	Journal	8.79		"Berlin, J. (2002). ""Environmental life cycle assessment (LCA) of Swedish semi-hard cheese."" International Dairy Journal 12(11): 939-953."	0045
Dairy Counter	Semi-Hard	Cheese	Netherlands	2011	Journal	8.50		"van Middelaar, C. E., P. B. M. Berentsen, M. A. Dolman and I. J. M. de Boer (2011). ""Eco-efficiency in the production chain of Dutch semi-hard cheese."" Livestock Science 139(1-2): 91-99."	0046
Dairy Counter	Cream	Cream	Canada	2012	Journal	2.10		"Vergé, X. P. C., D. Maxime, J. A. Dyer, R. L. Desjardins, Y. Arcand and A. Vanderzaag (2013). ""Carbon footprint of Canadian dairy products: Calculations and issues."" Journal of Dairy Science 96(9): 6091-6104."	0047
Dairy Counter	Cream	Cream	United Kingdom	2012	EPD	4.40		"Tesco (2012). ""Product carbon footprint summary."" Retrieved 15/02/2015, from http://www.tescoplc.com/assets/files/cms/Tesco_Product_Carbon_Footprints_Summary%281%29.pdf. "	0048
Dairy Counter	Cream	Cream	Austria	2010	Conference	6.88	organic	"Lindenthal, T., T. Markut, S. Hörtenhuber and G. Rudolph (2010). Greenhouse Gas Emissions of Organic and Conventional Foodstuffs in Austria. VII International Conference on Life Cycle Assessment in the Agri-Food Sector (LCA Food 2010). Bari, Italy."	0049
