FoodNumber,FoodName,CO2e,CO2eRef
67,"RICE WHITE BOILED IN SKIMMED MILK",  467,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
68,"RICE WHITE SKIMMED MILK AND SUGAR",  467,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
69,"SAVOURY RICE DRY",  467,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
70,"RICE SAVOURY (RECONSTITUTED)",  467,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
71,"SAGO DRIED",  320,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
72,"SEMOLINA DRY",  320,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
73,"TAPIOCA DRY",  320,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
74,"DUMPLINGS MADE WITH ANIMAL SUET",  120,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
75,"RICE MILK SUGAR AND BUTTER",  467,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
76,"EGG FRIED RICE INCLUDING TAKEAWAY",  491,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
77,"MILLET DRY",  320,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
101,"ALL-BRAN LOAF",  120,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
102,"BROWN BREAD NO ADDED BRAN",  162,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
103,"BROWN BREAD FRIED BLEND OIL",  162,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
104,"BROWN BREAD FRIED IN PUFA OIL",  162,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
105,"BROWN BREAD FRIED IN DRIPPING",  162,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
106,"BROWN BREAD FRIED IN LARD",  162,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
107,"BROWN BREAD TOASTED",  162,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
